Equipment Description,Model,Problem,Initial Diagnosis,Work Done
5 Parameters Bedside,PB216,issue,Battery discharged.,The battery has been charged and monitored. The device is now ready to use.
7 Parameters Bedside,C80,issue,Not showing ECG wave.,After adjusting settings and connecting the ECG probe properly.The machine is now functioning&nbsp;properly.
5 Parameters Bedside,H9,issue,&nbsp;SPO2 connector pin was displaced,The pin had been fixed properly and the issue had been solved.
5 Parameters Bedside,C80,issue,The wall stand was loose and software problem.,"which was properly tightened. Additionally, the software of several Comen patient monitors was updated to resolve issues with inaccurately displayed parameters."
General Adult/Pediatric,AVEA,issue,&nbsp;Low FiO2 reading.,"Upon inspection, the issue was traced to a faulty oxygen sensor. The sensor was replaced, and the problem was successfully resolved."
7 Parameters Bedside,c80,issue,uninstalled,&nbsp;Installed properly and is now ready to use.
7 Parameters Bedside,C80,issue,&nbsp;Insufficient cuff pressure.,"After adjusting the settings, the machine is now operating properly."
,BIOSONIC S1,issue,Leakage issue,The issue has been resolved and the machine is operating smoothly.
Electric,SIM MOVE800 AFS,issue,Insufficient power supply.&nbsp;,"Upon preliminary inspection, the issue was traced to a discharged internal power source (battery). The battery was recharged using an external booster charger. Following restoration of adequate voltage levels, the operation theater table was tested and verified to be fully operational, with stable electrical&nbsp;functionality."
7 Parameters Bedside,CMS8000,issue,Activation of the NIBP (Non-Invasive Blood Pressure) function causes the monitor to unexpectedly reboot.&nbsp;,"A full system reset was performed, including initialization of all internal modules and firmware components. Post-reset diagnostics confirmed stable operation. The patient monitor is now functioning within normal parameters."
5 Parameters Bedside,C80,issue,System software malfunction affecting device performance.&nbsp;,"The monitor's software was updated and reconfigured in coordination with the manufacturer's biomedical engineer. Following the firmware upgrade and system validation, the monitor was tested and is now fully functional and ready for clinical application."
5 Parameters Bedside,iMEC10,issue,The wall mounted plate screw was loose and missing.,"Patient monitor was securely wall-mounted and properly installed. After installation, all monitoring parameters were tested and verified to be functioning accurately. The device is now fully operational and ready for clinical use."
,HK-400III,issue,&nbsp;Syringe calibration.,"During inspection, found that the pump was not delivering the accurate dose of medicine. Performed calibration, and it is now ready for use."
Ultrasonic/Harmonic with Pressure,Force Triad,issue.,Spark observed on AC power cord during operation.,"&nbsp;Upon inspection, it was found that the AC power cord had poor contact and the earthing connection was improper, causing intermittent sparking during use. The power connections were reset and secured properly, and the earthing line was verified. After corrective action, the electrosurgical unit was tested and confirmed to be functioning safely and normally without any electrical faults."
7 Parameters Bedside,C80,issue,System needs to be update.,"After updating the system, the monitor is now functioning properly and is now ready to use."
5 Parameters Bedside,INFINITY DELTA,issue,&nbsp;Not showing ECG .,"After adjusting the settings properly and testing,the &nbsp;machine is operating smoothly."
,MBK OC NO 0886/8,issue,Foot switch not working.,"During inspection, found that the foot switch was not connected properly, which caused the chair not to move up and down. Reconnected the foot switch correctly, and it is now ready for use."
1.5 Tesla,Achieva 1.5T,ISSUE,"The inverter for the MRI was reported to be non-functional, as it failed to power on after an electricity cut-off. This interruption prevented the MRI system from operating.","Upon inspection, it was identified that the UPS battery backup was weak and required replacement. The system was reset, which temporarily restored inverter functionality. After the reset, the inverter powered on successfully, and the MRI resumed operation. However, to ensure reliable performance during future power outages, the UPS battery needs to be replaced."
Electric,Sim Move 800,issue,Table was non-functional and unresponsive.,"&nbsp;Upon thorough inspection, it was found that the battery had been overcharged, causing the system to become completely unresponsive. The table was not operating via the remote control or the onboard display panel due to an unstable battery. The battery was properly discharged and then recharged using a booster charger to stabilize it. After these actions, the OT table was tested and is now fully operational, functioning smoothly without any further issues.Note: To resolve this issue permanently the batteries needs to be replaced."
,PRISMA 450,issue,"&nbsp;The machine failed the leakage test, indicating a high level of gas leakage.","Further examination revealed that the issue was due to improper positioning of the bellows and canister. After carefully adjusting and securing both components, the leakage problem was resolved. The machine has now passed the leakage test and is functioning properly."
,PRISMA 450,issue,High system leakage detected.,"During inspection, it was found that the soda lime canister was not properly seated in its designated position, resulting in a leakage alarm during the system check. The canister was repositioned and securely tightened to its correct placement. After adjustment, the machine successfully passed the leak test and is now fully operational."
7 Parameters Bedside,c80,issue,Base plate.,"Upon inspection, it was found that the base plate was missing. After installing the base plate and securing the monitor properly, the unit was thoroughly tested and confirmed to be fully functional and ready for use."
5 Parameters Bedside,H9,issue,SpO₂ not functioning.,"Upon inspection, it was found that the SpO₂ connector pin was broken and required replacement. A new SpO₂ probe was installed, and after thorough testing, the monitor was confirmed to be fully functional and operating normally."
,XPS Nexus,issue&nbsp;,&nbsp;Handpiece not functioning.&nbsp;,"Upon inspection, it was found that the gear locking mechanism in the handpiece was damaged due to corrosion. The faulty component was repaired and reassembled properly. After corrective action, the microdebrider is now fully functional."
,R-12A,issue,&nbsp;Overhead light and suction system were not functioning.&nbsp;,"During inspection, it was found that the overhead lamp wire was disconnected from the transformer output terminal, resulting in a loss of power supply to the light. The wire was reconnected securely, restoring normal light function.Additionally, the suction system was not operating due to a malfunction in the suction control switch, which failed to trigger the main power supply board. Upon further inspection, it was observed that the connector to the switch was loosely attached. The connector was properly reattached, allowing the switch to activate the power board as intended.After completing both repairs, the dental chair is now fully functional."
,NA,ISSUE.,Air-in-line error.,"Upon inspection, the infusion pump displayed an air-in-line alarm due to air trapped in the administration set. A bolus/priming procedure was performed to purge the air from the tubing. After all air bubbles were removed, the pump was tested thoroughly and confirmed to be fully operational."
,,issue,Chair motor was not activating via the foot control switch.&nbsp;,"During inspection, it was observed that the foot control switch was not making proper contact when pressed, resulting in failure to activate the chair motor system. The switch assembly was realigned and properly repositioned to ensure consistent electrical contact.After adjustment, the dental chair motor is now functioning normally."
12 channel,TM-3E,ISSUE,Does not turn on.,"During the inspection, it was found that the power switch was faulty. Then it was replaced, and now the machine is ready to use"
12 channel,CM1200A,issue,Not showing proper signal and language changed.,"During the inspection, it was found that the machine was set to the German language, so it was changed to English. The lead and connector were not connected properly, so they were tightened correctly. Now the machine is ready to use."
5 Parameters Bedside,C80,issue,Alarm limits not set.,"During the inspection, it was found that the alarm limits were not set by the nurses. Then operation training was provided."
,Lumis150,issue,Device reported to be non-functional.,"Upon inspection, the BiPAP unit was found to be operational, but the therapy parameters were incorrectly configured, causing improper function. The settings were reconfigured to the appropriate clinical parameters. After adjustment, the machine was tested and verified to be functioning smoothly and delivering stable therapy output."
,EN-S7 SMART,issue,High-pressure alarm reported.&nbsp;,"The syringe pump was reported to trigger a high-pressure alarm during use. Upon thorough inspection and functional testing, no mechanical blockage or pressure-related issue was found. The pump operated normally throughout the test cycle, and all parameters were confirmed to be functioning correctly.Also, operational training was provided."
5 Parameters Bedside,CMS8000,ISSUE,NIBP was not measuring/monitoring.&nbsp;,"During the inspection, it was found that the connector between the cuff and the NIBP hose was not properly compatible with this model, which caused improper connection and failure of NIBP measurement. The cuff was replaced with a suitable one, and the monitor is now functioning normally and ready for use."
,Y-30T,ISSUE,Device reported to be non-functional.,"Upon inspection, the BiPAP unit was found to be operational issue. Also, low MV was detected due to leakage in the oxygen tube.After replacing the tube , the error hasbeen rectified and operational training has been provided to the medical staffs."
5 Parameters Bedside,iMEC10,ISSUE,It was reported for unit interchange.,"The monitor was replaced with the correct device and securely wall-mounted. After completion of functional testing, the unit was verified to be operating normally and is now ready for clinical use."
5 Parameters Bedside,C80,ISSUE,ECG probe damaged.,"During the inspection, it was found that the ECG probe was damaged. Then the probe was replaced. Now the monitor is ready to use."
,Flow-814,issue,The machine was not powering on.,"During the inspection, it was found that the power switch was faulty. The switch was replaced. Now the machine is ready to use."
3 channel,SE-3,issue,ECG printer problem.,"During the inspection, it was found that the ECG cover was blocking the paper due to a broken lock. The cover was arranged properly. Now the ECG machine is ready to use."
Manual,NA,issue,Reported to be non-functional.,"Upon inspection, it was found that the tube was damaged causing leakage , which needs to be replaced."
,,issue,&nbsp;Compressor pipe controller.,"During inspection, it was found that the foot controller was not controlling or passing the air supply. The issue was due to the foot controller being out of its original position because of a loose nut, which caused improper compression. The nut was tightened and the foot controller was restored to its correct position. The dental chair is now fully functional."
,ZC-9200A,issue,Compressor pipe controller.&nbsp;,"During inspection, it was found that the foot controller was not controlling or passing the air supply. The issue was due to the foot controller being out of its original position because of a loose nut, which caused improper compression. The nut was tightened and the foot controller was restored to its correct position. The dental chair is now fully functional."
General with Neonatal,AVEA,issue,Pre-tested remaining.,"Pre-tested all parameters, calibrated the O₂ sensor, performed circuit testing, and carried out the EST. All ventilators are now ready for use."
General with Neonatal,NKV550,issue,Pre-test remaining.,"Pre-tested all parameters, calibrated the O₂ sensor, performed circuit testing, and carried out the EST. Pre-tested all parameters, calibrated the O₂ sensor, performed circuit testing, and carried out the EST. All ventilators are now ready for use.Ventilators are now ready for use."
General Adult/Pediatric,VG70,issue,Pre-tested remaining.,"Pre-tested all parameters, calibrated the O₂ sensor, performed circuit testing, and carried out the EST. Ventilators are now ready for use."
5 Parameters Bedside,H9,issue,SpO₂ not displayed due to damaged patient probe.&nbsp;,The damaged probe was replaced. The monitor is now fully functional and ready for use.
,Flowtron ACS900,ISSUE,The unit was reported to be non-functional.&nbsp;,"&nbsp;Upon inspection, it was found that the probe connector was unable to detect the garments due to a connection fault. The connector was repaired and the system was tested, confirming proper garment detection and normal operation. However, it was also noted that the internal battery is weak and requires replacement to ensure the device remains fully functional and reliable during use."
,Prima 450,ISSUE,&nbsp;O₂ regulator producing sound.&nbsp;,"During inspection, it was found that the sound was caused by high-pressure gas supply. The regulator was adjusted and managed accordingly. The machine is now fully functional."
,PRISMA 450,ISSUE,Circuit leakage&nbsp;,"During inspection, leakage was found in the CO₂ absorber box. The box was tightened, and the leakage has been resolved. The machine is now ready for use."
,TESS730,ISSUE,&nbsp;syringe pumps was reported to be non-functional.&nbsp;,"Upon inspection and calibration, it was found that the syringe positioning required adjustment to ensure accurate detection and delivery. The calibration was performed successfully, and the pumps were thoroughly tested. After verification, syringe pump is now functioning smoothly and operating within normal parameters."
,TESS730,issue,&nbsp;syringe pumps was reported to be non-functional.&nbsp;,"Upon inspection and calibration, it was found that the syringe positioning required adjustment to ensure accurate detection and delivery. The calibration was performed successfully, and the pumps were thoroughly tested. After verification, &nbsp;syringe pump is now functioning smoothly and operating within normal parameters."
,HK-400III,issue,calibration failed,"During inspection and calibration, it was identified that the syringe positioning was misaligned, preventing accurate detection and delivery. The syringe positioning was recalibrated and adjusted properly. After completing the calibration process, both pumps were thoroughly tested and verified. The syringe pumps are now operating smoothly and performing within standard functional parameters."
,HK-400III,issue,Calibration Failed,"During inspection and calibration, it was identified that the syringe positioning was misaligned, preventing accurate detection and delivery. The syringe positioning was recalibrated and adjusted properly. After completing the calibration process, pump was thoroughly tested and verified. The syringe pumps are now operating smoothly and performing within standard functional parameters."
,HK-400III,issue,Calibration failed,"During inspection and calibration, it was identified that the syringe positioning was misaligned, preventing accurate detection and delivery. The syringe positioning was recalibrated and adjusted properly. After completing the calibration process, pump was thoroughly tested and verified. The syringe pumps are now operating smoothly and performing within standard functional parameters."
Manual,NA,ISSUE,Dial was slightly inverted.,"After adjusting it's position , the issue has been resolved."
,TE-LM730,ISSUE,The infusion pump was reported to be non-functional with a recurring bubble error.&nbsp;,"Upon inspection, the bubble error was traced to residual air present in the tubing. The line was properly primed by performing a bolus flush to eliminate air. Following this procedure, the error was cleared. The infusion pump was then thoroughly tested, confirming that it is now functioning smoothly and delivering accurately without further alarms."
5 Parameters Bedside,H9,ISSUE,PRE-TEST REMAINING.,"All monitoring parameters, including ECG, SpO₂, NIBP, and &nbsp;RESP, were thoroughly tested and verified. The tests confirmed that all parameters are functioning accurately, and the patient monitor is operating smoothly within normal working conditions."
5 Parameters Bedside,SureSigns VM8,ISSUE,"Upon inspection, the issue was traced to the SpO₂ probe. It was found that the probe connector was not properly .","The connector was reattached securely, and the probe was tested. After verification, the SpO₂ parameter was confirmed to be functioning smoothly, and the monitor is now operating normally."
Ultrasonic/Harmonic with Pressure,SONOCA 300,issue,The machine was hanging and none of the keys were working.&nbsp;,"During inspection, it was found that all functions were unresponsive. The system was reset, and now the machine is ready for use."
,Minipex,issue,The device did not power on.&nbsp;,"During inspection, it was found that the battery was discharged. The battery was charged, and the device is now ready for use."
Ultrasonic/Harmonic with Pressure,SONOCA 300,issue,Error displayed during power-on.&nbsp;,"The Söring Sonoca 300 was reported to be showing an error upon startup and was not functioning as expected. Upon inspection, it was determined that the issue could be resolved by initiating the machine's self-test mode. The self-test was successfully performed, which cleared the error and restored normal operation. After completing the test and verifying all functions, the machine is now operating properly."
,EN-S7,issue,The syringe pump was reported to be non-functional.,"Upon inspection, it was identified that the stand clamp was overtightened, restricting the proper adjustment and secure mounting of the pump. The clamp was carefully loosened and lubricated to restore smooth operation. After correction, the syringe pump was reinstalled and tested, confirming that it is functioning properly and ready for clinical use."
,NA,ISSUE,Power cord was damaged.,Power cord was repaired.
,Minipex,issue,The device was reported to be non-functional.&nbsp;,"Upon inspection, it was determined that the device had insufficient battery charge, preventing it from powering on. The unit was fully recharged, after which its functionality was restored. Post-charging verification confirmed that the apex locator is now operating properly and ready for use."
,NA,ISSUE,Power cord was damaged.,Repaired power cord.
Ultrasonic/Harmonic with Pressure,400HP,issue,The machine did not power on.,"&nbsp;During inspection, it was found that the fuse was not connected properly. The fuse was fixed, and the machine is now ready for use."
128 Slice,INGENUITY 128,issue,"The inverter for the CT Scan was reported to be non-functional, as it failed to power on after an electricity cut-off. This interruption prevented the CT Scan from operating.&nbsp;","Upon inspection, it was identified that the UPS battery backup was weak and required replacement. The system was reset, which restored inverter functionality temporarily. After the reset, the inverter powered on successfully, and the CT Scan resumed operation. However, to ensure reliable performance during future power outages, the UPS battery needs to be replaced."
,PRISMA 450,issue,High leakage and SPO₂ not displaying on the monitor.,"&nbsp;During inspection, it was found that the washer was broken and the SPO₂ module was faulty. The machine was replaced, and the monitor module was replaced with one from another machine. The machine is now fully functional."
Video,CR-31,issue,Display not working.&nbsp;,"During inspection, it was found that the battery was fully discharged. The battery was charged and set properly. The device is now ready for use."
,VOLVERE i7,issue,&nbsp;The ON/OFF switch was not working.&nbsp;,"During inspection, it was found that the switch was not making contact when pressed due to a contact gap. The gap between the switch and key was adjusted, and the machine is now ready for use."
Portable,AC7N,ISSUE,&nbsp;The device would not power on.&nbsp;,"During inspection, it was found that the SMPS power supply cord was not connected properly. The connection was fixed, and the device is now ready for use."
Electric,SimMore 800 AFS,issue,The OT table was reported to be non-functional.&nbsp;,"Upon inspection, it was found that a leakage had developed in the pipe connected to the hydraulic tank, resulting in loss of hydraulic fluid and impaired table movement. The leakage point was sealed and the pipe was fixed securely to prevent further fluid loss. After repair, the hydraulic system was tested, and the OT table was confirmed to be functioning properly."
Digital,NA,issue,Reported to be non-functional.,"Upon inspection, it was displaying “Error 1” that is due to leakage on Bpcuff. To be fully functional, the BP cuff needs to be replaced."
Manual,NA,issue,Reported to be non-functional.,"Upon inspection , it was displaying “ERROR 1” that is due to leakage in the cuff, which needs to be replaced."
5 Parameters Bedside,H9,issue,Reported to be non-functional.,"After verifying all essential parameters, includingSpO2, NIBP,and ECG, the device was confirmed to be fully functional and ready for clinical use."
,i7,issue,Device reported to be non-functional; bubble error observed.&nbsp;,"Upon inspection, a bubble error was identified due to improper IV tube setup. The IV tube was rinsed and reinstalled correctly. After performing a comprehensive functional test, the machine was confirmed to be operating smoothly."
,,issue,Scalar was not working.,"Upon inspection, found no compressed air to the system due to breakage of the lever of the water valve. Turned on the valve but the valve needs replacement."
,MBK OC NO 0886/11,Micromotor rotation is slow.,Micromotor handpiece rotation was slow.,"Upon inspection, it was the carbon brush was damaged which needs replacement."
,,issue,No water supply.,"It was found that the booster was turned off, after turning on the issue has been resolved."
Portable,N/A,ISSUE,Probe not detected.&nbsp;,"During the inspection, it was found that the probe lock was not engaged. After locking it properly, the probe was detected on the display. The machine is now ready to use."
,,Issue.,No up down movement.,"Upon inspection, the wire was disconnected. After securely soldering the wire, the issue has been resolved."
,ZC-9200A,issue,&nbsp;IIt was reported to be non-functional.&nbsp;,"&nbsp;Upon inspection, it was having a leakage issue which was then resolved ensuring the chair is functioning properly."
,,issue,Confident dental chair from dental department was reported to be non-functional as it was having an issue with power supply.&nbsp;,The issue is now resolved ensuring it's functioning fully after securing the wire properly.
,,issue,Micromotor foot switch wire was damaged by mouse.&nbsp;,The wire connection was fixed properly and the machine is operating smoothly now.
,,issue,The machine was found to be unresponsive and did not move in any direction.,"Upon inspection, it was found that the foot control switch was not making contact with the limit switches. After properly securing the switch in its correct position, the machine resumed normal operation and is now functioning as expected."
,POC-W211,ISSUE,No recording device detected.,"During the inspection, an error was found. The system was reset, and it is now ready to use."
,MBK OC NO 0886/15,issue.,"The light was found to be out of its designated position, which impeded its movement. Additionally, it could not be secured in a fixed position.","It was found that one of the screws securing the light was not properly fastened. After tightening the screw and securing it in its correct position, the machine resumed normal operation and is functioning properly."
,EN-S7,issue,Calibration issue,"During the inspection, a calibration issue was found. The pump was calibrated, and it is now ready to use."
,,issue,&nbsp;Dental bed was having a noise issue.,"Upon inspection, noise was from solenoid valve. The issue has been resolved now and the bed is functioning smoothly."
,,issue,Confident dental chair has an issue with suction.&nbsp;,The issue was then resolved ensuring it is functioning properly.
General Adult/Pediatric,VG70,ISSUE,Installation remaining.,"&nbsp;new ventilators have been successfully installed in the AICU. After installation, all basic functions and settings were checked to ensure proper operation. Both units are now fully ready for clinical use."
,ZC-9200A,ISSUE,Chair had an issue with airrotar.,"Upon inspection, it was found that there was not enough pressure which was resolved completely ensuring it is functioning properly."
,,ISSUE,It was reported to be non-functional.,"Upon inspection, it was having a leakage issue which was then resolved ensuring the chair is functioning properly."
,,issue,It was having an issue with suction.,Upon inspection The hand switch connection wire of suction was loosed which was then connected properly ensuring it is functioning properly.
,,issue,It was having a leakage.,The issue has been resolved now ensuring it is working properly.
,MBK OC NO 0886/8,issue,Reported to be non-functional.,"Upon inspection, it was found that the inductive air-locked rotary arm was loose. The issue has been properly resolved."
,ZC-9200A,issue,&nbsp;It was reported as non-functional.,"&nbsp;Upon inspection, it was found that the hand piece motor cable was damaged preventing it's operation.The issue has been properly resolved and is ready to use."
,,issue,&nbsp;It was reported to be non-functional.&nbsp;,The motor handpiece was not working and air rotor handpiece was also non-functional.Both motor handpiece and air rotar handpiece were fixed properly ensuring it is working smoothly.
,ZC-9200A,issue,It was having leakage issue.,The issue has been resolved now ensuring it is working properly.
,ZC-9200A,issue,It was having a leakage issue.,The issue was resolved and the machine is functioning properly.
,ZC-9200A,issue,&nbsp;It has an issue with scalar's foot switch wire.,The wire has been replaced and the machine is fully functional now.
,,issue,Chair not moving up,"First, the power source was checked and found to be working properly. Then, the control key for moving the chair up and down was inspected. It was found that the issue was with the controller itself. The controller was reset, and the chair is now working properly."
,D1,issue,Water supply issue.,The water supply pipe was clogged. It has been cleaned and is now functioning properly.
General Adult/Pediatric,VG70,ISSUE,Installation remaining.,"New ventilator have been successfully installed in the AICU. After installation, all basic functions and settings were checked to ensure proper operation. Both units are now fully ready for clinical use."
General,MBC601 UAM,issue,Device reported to be non-functional.,"Upon inspection, the electrosurgical unit was found to be non-operational due to a faulty foot switch. The foot switch connector was re-soldered and integrated with a functional spare foot switch. Continuity and operational tests were performed, confirming proper activation response. After verification, the electrosurgical unit is operating smoothly and ready for clinical use."
,,issue,Obstruction of the motor fan caused by accumulated dirty and hair.&nbsp;,"Upon inspection, the nebulizer was found to be non-operational due to obstruction of the motor fan caused by accumulated dirt and hair, which restricted proper motor rotation. The debris was thoroughly removed, allowing the fan and motor to run smoothly. After functional testing, the nebulizer was confirmed to be operating normally and is ready for clinical use."
12 channel,SE-3,issue,&nbsp;Device reported to have a printing malfunction.&nbsp;,"Upon inspection, it was identified that the thermal print head was improperly seated, preventing the printing sensor from functioning correctly. The thermal head was repositioned and secured in the correct alignment. After adjustment, the printing function was restored, and comprehensive testing confirmed that the machine is now operating smoothly.Note: Operational training will be provided to the department staff as feasible."
General Adult/Pediatric,AVEA,issue,"it was found that the oxygen sensor had expired and was no longer functioning, resulting in device malfunction.&nbsp;","The faulty sensor was replaced with a new oxygen sensor. Following replacement, comprehensive system checks and performance testing were carried out. The ventilator was verified to be operating correctly and is now ready for clinical use."
General Adult/Pediatric,AVEA,issue,"It was found that the oxygen sensor had expired and was no longer functioning, resulting in device malfunction.","The faulty sensor was replaced with a new oxygen sensor. Following replacement, comprehensive system checks and performance testing were carried out.Also, expiratory valve filter was clogged which was sent for autoclave.The ventilator was verified to be operating correctly and is now ready for clinical use."
General Adult/Pediatric,VG70,issue,Calibration failure.,"During inspection, the ventilator was found to have a calibration failure. The unit was recalibrated successfully, and all parameters were verified. The ventilator is now functioning properly and is ready for use."
General Adult/Pediatric,VG70,issue,Calibration failure.,"During inspection, the ventilator was found to have a calibration failure. The unit was recalibrated successfully, and all parameters were verified. The ventilator is now functioning properly and is ready for use."
General Adult/Pediatric,VG70,issue,Reported issue with VTe measurement and touchscreen display.&nbsp;,"As reported by the In-charge, the ventilator was suspected to have issues with exhaled tidal volume (VTe) readings and touchscreen responsiveness. The machine was evaluated using a VT analyzer, and comprehensive functional and performance tests were conducted. All parameters, including VTe accuracy and touchscreen operation, were found to be within acceptable limits.After verification, the ventilator was confirmed to be suitable for clinical use.&nbsp;"
Ultrasonic/Harmonic with Pressure,SONOCA 300,issue,System freezing issue,"During inspection, the machine was found to be freezing during operation. All components were reset and the system was checked for proper functioning. The unit is now operating normally and is ready for use."
General Adult/Pediatric,AVEA,issue,Suspected air leak / loss of air reported by In-charge.&nbsp;,"As reported by the In-charge, the ventilator was suspected to have a loss of air. A comprehensive system inspection was performed, including leak testing and verification using a VT analyzer. All ventilation parameters were found to be within acceptable limits, with no evidence of air leakage.Also, the filter was cleaned properly.Following successful verification, the ventilator was confirmed to be operating smoothly and is ready for clinical use."
General Adult/Pediatric,AVEA,issue,Analyses the parameters of ventilator using VT analyzer.,"Upon inspection, it was found that the Tidal Volume is within the range and the FiO2 is marginally pass.&nbsp;"
General with Neonatal,AVEA,Issue,Analyzes the parameters of ventilators using VT analyzer.,"Upon inspection, it was found that the tidal volume is within the range but FiO2 failed ."
General with Neonatal,AVEA,issue,Analyzes the parameters of ventilator using VT analyzer.,"Upon inspection, it was found that the tidal volume is within the range but FiO2 failed."
General Adult/Pediatric,VG70,issue,Analyzes the parameters of ventilator using VT analyzer.,Upon inspection. it was found that the tidal volume and FiO2 is within the range .
General Adult/Pediatric,VG70,issue,Analyzes the parameters of ventilator using the VT analyzer.,"Upon inspection, it was found that the tidal volume and the FiO2 is within the range."
General Adult/Pediatric,VG70,ISSUE,Analyses the parameters of ventilator using VT analyzer.,"Upon inspection, It was found that the tidal volume and FiO2 are within the range."
General Adult/Pediatric,AVEA,issue,Analyzes the parameters of ventilator using VT analyzer.,"Upon inspection, it was found that the Tidal volume &nbsp;is within the range but FiO2 failed."
General Adult/Pediatric,AVEA,issue,Analyzes the parameters of ventilators using VT analyzer.,"Upon inspection, it was found that the tidal volume and FiO2 are within the range."
General Adult/Pediatric,AVEA,issue,Analyzes the parameters of the ventilator using VT analyzer.,"Upon inspection, it was found that the tidal volume and FiO2 are within the range"
General Adult/Pediatric,VG70,issue,Analyzes the parameters of the ventilator using VT analyzer.,"Upon inspection, it was found that the tidal volume is within the range but FiO2 failed."
General Adult/Pediatric,VG70,issue,Analyses the parameters of ventilator using VT analyzer.,"Upon inspection, it was found that the tidal voulme and FiO2 are within the range."
General,R-8C PLUS,issue,The display was not turning on.,"During the inspection, it was found that the display power supply was shorted. Further checking revealed that an IC on the board was also shorted. Therefore, the power board was replaced. The machine is now ready for use."
Ultrasonic/Harmonic with Pressure,SONOCA 300,issue,System freezing issue.,"During inspection, the machine was found to be freezing during operation. All components were reset, and the system was checked for proper functioning. The unit is now operating normally and is ready for use."
General Adult/Pediatric,AVEA,issue&nbsp;,Suspected air leak / loss of air reported by In-charge.,"As reported by the In-charge, the ventilator was suspected to have a loss of air. A comprehensive system inspection was performed, including leak testing and verification using a VT analyzer. All ventilation parameters were found to be within acceptable limits, with no evidence of air leakage.Also, the filter was cleaned properly.Following successful verification, the ventilator was confirmed to be operating smoothly and is ready for clinical use."
General Adult/Pediatric,AVEA,issue,Oxygen (O₂) calibration failure.&nbsp;,"During inspection, the O₂ sensor was found to be faulty and was replaced. After replacement, O₂ calibration was performed successfully, and the ventilator is now functioning properly and ready for use."
,Prima 450,issue,Leakage Test Failed.,"During inspection, leakage was in the circuit.After connecting the circuit properly, the leakage level was in the range and is ready for clinical use. The medical staffs were also given operational training about the circuit leakage."
General with Neonatal,AVEA,issue,Oxygen (O₂) calibration failure.&nbsp;,"During inspection, the O₂ sensor was found to be faulty and was replaced. After replacement, O₂ calibration was completed successfully. The ventilator is now fully functional and ready for use."
General Adult/Pediatric,AVEA,issue,Oxygen (O₂) calibration failure.,"During inspection, the O₂ sensor was found to be faulty and was replaced. After replacement, O₂ calibration was performed successfully. The ventilator is now fully functional and ready for use."
12 channel,ECG-5512B,issue,Printing malfunction.,"Upon inspection, it was found that the printer door locking mechanism was damaged, preventing the door sensor from detecting proper paper placement. The printer door was repaired and secured correctly, restoring sensor functionality. After corrective action and testing, the ECG machine is now operating smoothly and printing normally"
General with Neonatal,AVEA,issue,O₂ calibration failure.,"During inspection, the O₂ sensor was found to be faulty. The O₂ sensor was replaced, and calibration was completed successfully. The ventilator is now fully functional and ready for use."
General Adult/Pediatric,AVEA,Issue,O₂ calibration failure.,"During inspection, the O₂ sensor was found to be faulty. The O₂ sensor was replaced, and calibration was completed successfully. The ventilator is now fully functional and ready for use."
AED,861290,issue,&nbsp;No battery backup.,"During inspection, it was found that the battery was not properly connected. The battery was reconnected correctly, and the unit was tested. The defibrillator is now functioning properly and is ready for use."
12 channel,PB216,No signal displayed on the screen.&nbsp;,No signal displayed on the screen.&nbsp;,"During inspection, it was found that the ECG leads were not properly connected. The leads were connected correctly, and user training was provided on proper lead placement and operation. The ECG machine is now functioning properly and is ready for use."
12 channel,MK-1212A,issue,Printing malfunction.,"Upon inspection, it was found that the thermal head was not kept properly. After corrective action and testing, the ECG machine is now operating smoothly and printing normally."
,Prima 450,ISSUE,O2 regulator producing unwanted sound.,"Upon inspection, it was found that the safety valve was open. The valve knob was adjusted to meet the required threshold. After adjustment, a leak test was performed, and the measured leakage was below 200mL/Min, indicating that the machine is now functioning properly and is ready for use."
,Prima 450,ISSUE,High leakage,"During inspection, it was found that the washer was broken and the bellow was not tightened properly. After temporarily fixing the washer and adjusting the bellow position properly, it passed the leakage test.The machine is now fully functional."
Digital,,ISSUE,Zeroing issue.,"BP cuff from male surgical ward was non-functional. Upon inspection, there was an zeroing issue which was fixed properly."
5 Parameters Bedside,H9,Issue,Patient monitor shifted.,"Patient monitor is successfully installed and configured. Comprehensive testing of all monitoring parameters was carried out, and each unit was verified to be functioning properly. The monitor is now fully operational and ready for clinical use."
5 Parameters Bedside,H9,Issue,Monitor shifted and installed.,"patient monitor was successfully installed and configured. Comprehensive testing of all monitoring parameters was carried out, and each unit was verified to be functioning properly. The monitor is now fully operational and ready for clinical use."
7 Parameters Bedside,H9,Issue,Monitor needs to be shifted and installed.,"All listed Hwatime H9 patient monitors were successfully installed and configured. Comprehensive testing of all monitoring parameters was carried out, and each unit was verified to be functioning properly. The monitors are now fully operational and ready for clinical use."
5 Parameters Bedside,H9,Issue,Monitor was shifted and installed.,"Patient monitors was successfully installed and configured. Comprehensive testing of all monitoring parameters was carried out, and each unit was verified to be functioning properly. The monitor is now fully operational and ready for clinical use."
7 Parameters Bedside,H9,Issue.,Monitors need to be shifted and installed.,"Patient monitor was successfully installed and configured. Comprehensive testing of all monitoring parameters was carried out, and each unit was verified to be functioning properly. The monitor is now fully operational and ready for clinical use."
