Equipment Description,Manufacturer,Model,Problem ,Work Done 
Immunoassay Analyzer,Snibe,Maglumi 2000,Left and right pipet unabel to move down,"Check supplied voltage, Check earting, cleaning and maintenance performed."
Laryngoscope,,,Bulb not glowing.,Assessment was performed. Bulb conductance was measured.
Syringe pump,Smiths Medical,Graseby C9,Unabel to power on.,"Inspected , Ribbon cabel were readjusted properly."
Ventilator,Hamilton,C1,Leak test unabel to pass.,Inspected  the circuit for any leakage. 
Infusion Pump,Enmind,EN V7 smart ,Loose clamp holder,General maintenance was performed
Bubble CPAP,,,Not Working stickers was pasted.,Reassessment was performed and checked the machine. Working fine
Patient Bed,,,Bumper Castor was detached,Inspected and reattached the bumper castor
Autoclave,,,"Autoclave not reaching the required temperature.
",Inspected and checked the contunity of heating rod.
Nebulizer,Niscomed,,3 pin plug was detached,3 pin plug wiring system was reattached
Nebulizer,Niscomed,,Motor not working properly,General maintenance was performed
Nebulizer,Niscomed,,"Motor not working properly
",Genral maintenance was performed
,,,No inventory for new machine,Inventory of newly installed machine was performed.
Ventilator,Hamilton,C1,Ventilator showing fluctuating in Tidal volume,Inspected. probe check was performed. Leakage from Oxygen onnector was maintained.
ECG Machine,Philips,PageWriter TC20,High electrical interference in the ECG wave pattern,"Inspected crossed verified the lead placement. 
Power cabel was disconnected from charging port."
Syringe pump,Smiths Medical,Graseby C9,System error ,"Inspected all cabels were reset and restart the equipment
"
Coulter counter,,Humancount 5D,Vertical motor don't initialize and move,Inspected and changed the horizontal and vertical wire.
Sphygmomanometer,,,Misalignment of neddle in manometer,Alignment of needle was adjusted
Nebulizer,,,Connection of air outlet port was broken,Outer cover was replaced
TENS Machine,,,TENS connector probe were broken,Connector were readjusted and maintained
Ventilator,Hamilton,C3,Low oxygen Alaram even patient getting enough oxygen,Limts of Oxygen was maintained to reslolved the Alaram 
Ventilator,Hamilton,C1,Obstruction in ventilation due to continuous alarm of flip flow sensor,Inspected and checked flow sensor connection were adjusted.
Syringe pump,Mindray,Benefuion SP3,Unabel to infuse all the medicine,System calibration was performed
Ventilator,Philips,Respironics V200 Esprit,Showing high Tidal Volume,"General maintenance was performed. Filters were cleaned.
EST test was performed"
Infant Radiant Warmer,Shreeyash,,No response to power,Loose cabel  in the power system was maintained.
View box,,,Light not glowing at one side of  the view box ,"Inspected and faulty connection was identified.
Connection  as reestablished"
Chest Vibrator,,,Loose potentiometer,Inspected and loose potentiometer was tightened.
Chest Vibrator,,,Misalignment of the vibrator tip,Vibrator tip was realigned in correct position
Ultrasound Therapy,,,Broken TENS probe,Broken cabel were readjusted
Nebulizer,,,Nebulizer cabel broken,Broken cabel was reconnected.
View Box,,,View box not glowing,Adapter cabel connection was adjusted properly.
Sphygmomanometer,,,Needle alignment was distorted,Needle alignment was adjusted at 0
Nebulizer,Niscomed,,Short circuit,Wire was readjusted and connected properly
Hot Air Oven,,,Fumes were releasing from the side valve,User guidance was provided.
Coulter Counter,DYMIND,DF55,Unable to show the data of Haemoglobin,Volatge was adjusted at about 45-50 v range
Central Monitoring System,Philips ,Efficia CM120,CMS Unable to display the data of monitors,Cabel were readjusted.
VDRL Shaker,HL scientific Industries,,VDRL shaker speed rotar unable to maintain speed,Inspected and fasten the screw holding the speed controller potentiometer.
Infusion Pump,Mindray,Benefusion,Clamp holder broken,Adjust temporarily using vega
Coulter Counter,DYMIND,,Unabel to perform test,Vacuum voltage was maintained 
Ventilator,Hamilton,C1,High tidal volume during spont mode,Inspected cleaned the filters and verified with VT analayzer
Ventilator,Hamilton,C1,High tidal volume during spont mode,Inspected cleaned the filters and verified with VT analayzer
Ventilator,Hamilton,C1,High tidal volume during spont mode,Inspected cleaned the filters and verified with VT analayzer
BIPAP,Philips,,Door Locking  issue,Lock was rearranged and door lock maintenance performed
Hematology Analyzer,Horiba,YumizenH550,Unabel to perform test and show results,Diluent valve with white driff  valve was readjusted.
X-Ray Machine,Allengers,Mars 40,Collimeter light not glowing.,Inspected. Timer card  components was checked. Capacitor was  found to be damage.
ECG Machine,Philips,Page writer TC20,Date and time was mismatched,Seetings for date and time was corrected
ECG Machine,ECGMAC,EM 301,Unable to get ECG waves,User guidance was provided. 
Nebulizer,,,Unabel to produce enough fumes,Inspected new air filter was replaced
Colposcope,Lutech,LT-300SD,Unabel to get image in Monitor,Repaired  colposcope was installed and work verification was performed by coordination with doctors
Patient Bed,,,Side frame unabel to lock,Side frame was replaced with other patient bed.
Syringe pump,Smiths Medical,Graseby C9,Unabel to power on.  Ribbon cabel was faulty. It was returned to store,Ribbon cabel board was replaced from another Syringe pump showing system error 09
Syringe pump,Smiths Medical,Graseby C9,System erro 09,Inspected. Its ribbon cabel board was replaced with ICU044 from store. 
Syringe pump,Mindray,Benefusion SP3,Unabel to infuse all the medicine,Calibration was performed.
Syringe pump,Mindray,Benefusion SP3,Unabel to infuse all the medicine,Calibration was performed.
Infant Radiant Warmer,Shreeyash,,Preopeartion of the machine was required,Reassessment was performed for the machine
Infant Radiant Warmer,,,Preopeartion of the machine was required,Reassessment was performed for the machine
Infant Radiant Warmer,,,Preopeartion of the machine was required,Reassessment was performed for the machine
Infant Radiant Warmer,,,Preopeartion of the machine was required,Reassessment was performed for the machine
X-Ray Machine,Allengers,Mars 40,Collimeter bulb not glowing,Inspected found out blown out 5A fuse along with fuse holder.
CTG,Shenzhen Osen Tech,OSEN900E,Unabel to print the graph of certain time frame,Setting were adjusted and user guidance was provided.
Bilirubin Tester,,,Unabel to set zero,Reset and set button were readjusted
Infusion Pump,Mindray,Benefusion VP3,Clamp holder was broken,Metal plate was fixed at the base for firmly support
Infant Radiant Warmer,Shreeyash,,Switch not working properly,Loose nuts were fasten tight around switch area
Autoclave,,,Unable to cook properly ,Fasten the nuts at joint 
CTG,,,CTG Transducer unabel to produce sound.,Transducer connection to CTG was rechecked.
Bubble CPAP,,,Pre operation was required,Working condition of machine was assured.
Bubble CPAP,,,Pre operation was required,Working condition of machine was assured.
Hematology Analyzer,Horiba,YumizenH550,Unabel to perform test and show results,Earting was provided and sample was runed
Patient Monitor,Philips,,SpO2 probe unabel to give reading,Probe was replaced
Lithotripter,Nidhi(NMS),Lithdigi,Lithotripter gun not functioning properly,"Bullet was cleaned and readjusted properly
"
Incubator,,,No rise in temperature,Inspected crossed verified found broken cabel cabek was cahanged temperature was maintained.
Infant Radiant Warmer,Shreeyash,,Switch not functioning,Cross verified Switch was replaced. Working fine.
,,,Issues on cleaning the Laryngoscope and ventilator,Instructions  and guidance was provided to nursing staff on cleaning the equipment.
Hematology Analyzer,Horiba,YumizenH550,Unabel to perform test and show results,Valve were rechecked and Flushing was performed.
Nebulizer,,,Motor not responding,Inspected and alignment of motor was adjusted
Sphygmomanometer,,,No deflection of Mamometer Needle ,Manometer was Replaced
Patient Bed,,,Non Compliant Bed remote,wiring was readjusted and solved
Patient Monitor,Mindray,uMEC10,Monitor unabel to give reading,Layout settings were reajusted
Nebulizer,Niscomed,,wire connection was disconnected,Connection was restored
Nebulizer,Niscomed,,Switch not responding,wiring of switch was readjusted
Neuro Burr,,,Disoriented wire and woking in only one direction ,Wiring was adjusted and orentation was adjusted to be working in all direction 
BIPAP,Reamed,,Unabel to adjusted the mode,user guidance was provided
ECG Machine,Philips,PageWriter TC20,"Layout was changed, settings for Filter were mis selected",Default setting were Adjusted
ECG Machine,ECGMAC,EM 301,ECG with artifacts,User training and guidance was provided
Infant Radiant Warmer,Shreeyash,,Unabel to switch On,"Inspected and all the components switch was checked, relay was checked and Triac was checked. Connection was reset."
,,,Sticker worn Out For XRay and ECG in Emergency,New sticker were Pasted
Syringe pump,Smiths Medical,Graseby TM C9,Unabel to set the rate for 0.008,Inspected and requested for recalculation. Set at 8ml
Mattress Inflator,Niscomed,,Broken cabel,Broken Cabel was repaired
Mattress Inflator,Niscomed,,Broken Cabel ,Broken cabel was repaired
Mattress Inflator,Niscomed,,Broken Cabel,Broken Cabel was repaired
Syringe Pump,Advanced,SP200,Tight syringe clamp ,Syringe clamp was fasten
Syringe Pump,Advanced,SP200,Tight Syringe Clamp,Syringe pump clamp was fasten
Blood Bank Refrigerator,Remi,BR ultra 125,Unabel to maintain temperature between 4-6 degree,Inspected and general maintanence was performed and recharge the gas
Anesthesia workstation,Medion,v12,Tidal Volume was unable to maintain,Flow senor was correctly inserted
Phototherapy ,,,2 bulb wasn't glowing,Not glowing bulb was repaired with cross verification
Ventilator,Hamilton,C3,Unabel to pass the tightness of the circuit,inspected and found that  circuit was Incomplete it was verified  and  tightness test was performed
Patient Bed,,,Remote unabel to respond as per instruction,Power box connection was reinserted properly
Defibrillator,Mindray,BeneHeart D3,Continuous blinking of the Cross indicator,Test pass was performed
Hematology Analyzer,Horiba,Yumizen,Start up test failed,"All the reagent was recharge,priming was performed"
Colposcope,Lutech,LT-300SD,Operational Issue,User guidance and training was provided
Nebulizer,Niscomed,,Not working ,Piston was aligned into the correct position
Nebulizer,Niscomed,,Burnt cabel connection,burnt cabel was replaced
Infant Radiant Warmer,Shreeyash,,Alaram for skin sensor fail,Inspected the device and sensor was crossed verified and  concluded to be faulty
Syringe pump,Smiths Medical,Graseby TMC9,Broken display panel holder,Broken parts was attached
ECG Machine,Philips,Page writer TC20,Unable to print the ECG graph,User guidance was provided
Patient Monitor,Schiller,Truscope Utra Q7,ECG led broken,Broken ECG Led was repaired
C-Arm Machine,Allengers,HF49R,Low Imgae quality in Uro surgery,Inspected and  verified the problem KV and MAs was maintanined
Infant Radiant Warmer,Shreeyash,,Switch not responding and 3 pin was also broken ,Faulty  switch was Verified and replaced. broken 3 pin was also replaced
C-Arm Machine,Allengers,HF49R,Foot Switch not responding properly,Foot switch connetion was reset and assured to be working 
Coulter Counter,DYMID,,unabel to give the result,"Inspected,All valve were checked,5 part was checked and Optical unit was replaced"
Hematology Analyzer,HORIBA,Yumizen,Unabel to give DC parameter,"Inspected Rinse was performed, Flow cell was flushed manually but didn't work "
CTG,Shenzhen Osen Tech,OSEN9000E,No sound from the transducer of CTG,Inspected and Factory reset was performed 
ECG Machine,ECGMAC,EM 301,ECG Lead loose connection.,Loose connection were tightened and tested with patient
CO2 Insufflator,OM surgical,Alphaflator2SD,Contiuous Leakage of the CO2 gas from the machine.,Inspected the problem and veriified the issue. Broken Pneumatic pipe was replaced with newe one and verified.
Syringe pump,Smiths Medical,Graseby TMC9,system Error 09,Main board was replaced with the broken syringe pump of ICU
Syringe pump,Smiths Medical,Graseby TMC9,Automatically power off during infusion.,Inpected the battery and checked the voltage. user guidance was provided.
Syringe pump,Smiths Medical,Graseby TMC9,Power turn off during infusion, checked the battery voltage and replaced the Battery from donor unit
Laser Machine,Quanta,,Bacside handel was loose,Nut was fastened to make it intact
C-Arm Machine,Epsilon,EPvictory RA-6,Foot lock Locking issue,Foot lock was manully and mechanicaly adjusted.
Patient Monitor,Meditech England,M757,Colorful display in screen,inspected and cabels were reset 
Electrosurgical Unit,Volksmann surgi Heal,,Contiuous beep sound ,Inspected and provided user guidance
Autoclave,,,Delay in heating rod.,Inspected and checked  all the heating rod
Humidifier,SH 330 Respiratory Humidifier,,Power on issue,Inspected the machine and power unit was checked
Humidifier,Pigeon,PN-2000FB,Humidifier showing Error 2,Inspected issue was with temperature probe. 
Ventilator,Mindray,SV600,Time was mismatched,Settings were adjusted
Coulter Counter,,Huma count 5D,reuest for the montly maintenance,company engineer did the genral maintenance 
CTG,Shenzhen Osen Tech,OSEN9000E,Unabel to retrive the history data,Issue was resolved and history data was recovered
Oxygen Flowmeter,,,leakage of the oxygen from wall flowmeter,Issue was addressed and resolved
Endoscope,olympus,GIF-Q150,No air flow form the scope,Air lekage was detected and issue was resolved by changing the valve
Infant Radiant Warmer,Shreeyash,,No power on,Faulty switch was identified and replaced. 
C-Arm Machine,Epsilon,EPvictory RA-6,C arm unabel to get image on the screen ,Loose connector issue was attached. Auto was enable
X-Ray Machine,Allengers,Mars 40,Collimator light not glowing,loose fuse was reinserted
Ventilator,Hamilton,C3,unabel to pass the flow sensor calibration,inspected and corrected circuit and flow sensor was used 
Central Monitoring System,Philips ,Efficia CM120,Loss of Monitoring,cabels were reset and checked the licence key
ECG Machine,Philips,PageWriter TC20,Missing lead no graph shown.High amount of artifacts during ECG too ,Archive data were cleaned up. Tangeled wire untangeled and perofrmed the ECG yet not showen all led
Nebulizer,Niscomed,,Unsual sound from the nebulizer. No proper vaporization too,Alignment of motor was adjusted
Nebulizer,Niscomed,,motor unabel to power on,motor fan was balanced
ECG Machine,ECGMAC,EM 301,ECG not showing all led,Loose VGA cabel was fasten
Patient Bed,,,Remote not responding,connection was reassured with the board.
Blood Bank Refrigerator,Remi,,Tray unabel to push or pull,Inspected and the nut were was fastened and balanced the tray
Refrigerator ,,,Refrigerator temperature sensor unable to power on,broken wire was resoldered
C-Arm Machine,Allengers,HF49R,No clear image in screen ,CCD lense was cleaned all the cabels to LCD end were reconnected. The cabel for image transfer was reconnceted properly. Alignment of Camera was readjusted properly again. System was restarted and exposure was performed.
C-Arm Machine,Epsilon,EPvictory RA-6,Detector unabel to get ready,Flat panel was open and the detector cabels were readjusted properly. Cabel to Board was inspected and found cabel was disconnected.
PFT,MDD,Easy on PC,Performance verification report was requested,Performance verification report for PFT was made
Audiometer,Interacoustics,Type 2,Performance report was requested,Performance verifaction report was made
TENS Machine,,,Unable to power on,Switch was replaced.
Syringe pump,Smiths Medical,Graseby TMC9,Automatically Power on and off,Battery was drain out and replaced by new one
Patient Monitor,Schiller,Truscope Ultra Q7,Spo2 port was missing,Inspected and found spo2 port was inserted inside Monitor due to excessive pressure. 
Nebulizer,Niscomed,NB-117,No sufficient air,Addressed the issue and found piston to be broken
Glucometer,Vivachek Laboratories,Vivachek Ino,Continuous alarm of Error-2,Addressed the issue and used new test trip and working
Sphygmomanometer ,NA,NA,Air release valve stuck ,"gently used a pair of pliers to loosen it, then applied a small amount of lubricant to ensure smooth operation."
Ventilator,Hamilton,C1,Bench circuit peep maintaining knob not moving gently,Peep knob cleaned and applied lubricant
Autoclave,NA,NA,Doesn't heat up,"Addressed ,found faulty heater and replaced heater coil"
Ventilator,Hamilton,C3,Circuit test id pass,Maintained all the circuit and then performed the circuit test
Ventilator,Mindray,SV600,Alarm of reversed flow sensor,"Maintained the circuit, flow sensor connected properly and then performed the circuit test"
Ventilator,Hamilton,C3,Unwanted sound occurred ,Performed general maintenance of filters and then performed the circuit test
Ventilator,Mindray,SV600,Issue with the seething of RR,Assisted for settings
ECG Machine,ECGMAC,EM 301,Image Artifact,"Cable connected properly,provided operational training to user and made chest suction lead cleaned"
Patient Bed,NA,NA,Broken piston screw,"Broken screw removed, repaired using lathe machine and restored it's threads and structural integrity and then reinstalled."
Central Monitoring System,,,Parameters does not display on CMS,Connection configured and connected at the right  socket
Ventilator,Hamilton,C3,Requested to perform preop check,Performed general maintenance of filters and the. Performed the circuit test
Colposcope,Lutech,LT-300SD,Image not displayed in the monitor,Connection restored
ECG Machine,ECGMAC,EM 301,Doesn't print and no waves in some lead,General maintenance of thermal head and cable connected properly
Infusion Pump,Enmind,EN-V7 Smart,Continuous alarm of Air Bubble,Cleaned the air sensor and performed the test
ECG Machine,Philips,PageWriter TC20,We encountered an issue where leads V1 and V3 were absent from the initial ECG visualization on the ECG machine.,"Cleaning the leads and electrodes resolved the issue, and the missing V1 and V3 leads are now visible on the ECG machine.

"
Glucometer,VivaeChek,,E2 and E3 Error- The problem is with the main board,We clean the circuit board but it doesnot shows any positive fuction as it should show. There could be internal damaged components like faulty chips that require repair or replacement.
Infant Radiant Warmer,shreeyash,,Unable to power on and not being able to diaplay,Switch was relaced all the components were checked througly 
Gauge Cutter,,,Not cutting properly ,Inspected and crosed verified the problem edge sharpner was made loose to get contact with the blade 
Mattress Inflator,,,unable to power on ,Disconnected cable was connected back to the establish the conection 
Central Monitoring System,Philips ,Efficia CM120,CMS unable to show the data of 201 monitor,Inspected the machine and crossed verifed the problem. 
Hemoglobin Analyzer,DiaSpect TM,,Analyzer unable to power on ,Battery voltage was checked and concluded battery faulty
Ventilator,Hamilton,C1,showing low tidal volume ,"Inpected the machine, cleaned the hepa filter and did  ventilation  in different mode and noted the tidal volume"
Patient Monitor,Schiller,Truscope Ultra Q,NIBP not showing the reading,Inspected and  crossed verified the cable
Distilled water plant,BIOBASE,,Unable to produce the distill water ,inspected the working mechanism of the machine and found leakage from the pipe 
Gauge Cutter,,,Cutter not responding properly while cutting gauge,cutter blade was replaced with new one
ECG Machine,Philips,PageWriter TC20,Preventive maintenance was required,Tested with simulator and concluded machine is  working fine
X-Ray Machine,Allengers,Mars 40,Collimator light was not glowing ,"Inscpected and compactible capacitor(63v ,100mf) was replaced,burnt connector was soldered."
ECG Machine,Philips,Pagewriter TC20,ECG wave was not regular/normal after inspection concluded suction wasn't placed properly,Inspected and cross verified with ECG Smiluator
ECG Machine,ECGMAC,EM 301,Preventive Maintanence required,ECG Machine was checked using ECG simulator
ECG Machine,ECGMAC,EM 301,Preventive Maintenance required,ECG was checked using ECG Simulator
Patient Monitor,Philips,Effica CM120,Installation Required,Installed on wall mount
Ventilator,Hamilton,C1,Leak error,maintenance and preup check
USG Machine,Samsung,Accuvix X6,"USG machine malfunctioning- Freezing, unresponsive cursor, and print button failure diagnosed. Encoder and bearing issues identified and rectified.","Keyboard cleaned, Preventive maintenance performed, System restored to optimal function(Encoder and bearing )."
Phototherapy,,,2 blue Bulb not glowing,Bulb was replaced with each other and solved
OT Light,,,"OT2- OT light malfunction: Burnt controller board in upper domes, circuit board and power supply issues in lower domes.","Verified circuit board issue, vendor contacted."
OT Light,,,"OT3 light malfunction: Lower dome controller board failure, upper dome controller board and power supply failure.",Lower dome controller circuit modified to on/off function only (cannot increase or decrease the intensity of light per requirement).
OT Light,,,"OT4 light malfunction: Lower dome controller board failure, upper dome controller board and power supply failure.",Lower dome controller circuit modified to on/off function only.
Syringe pump,Smiths Medical,Grabsey TMC9,Transmission error,Inspected the machine and cheked the plunger yet showing error and another machine with power issue was repaired using the display board of the ICU068
Patient Bed,,,Unable to lock and unlock the bed,Inspected and found out  screw was missing so compatible screw was used to make the lock frim
Ventilator,Hamilton,C1,Unable to pass the leak test,Inspected the machine and tried mutliple time to pass the leak but couldn't. Checked the flow sensor and found broken at two junction and leakage. leakage was shielded tightely with the vega and tested multiple time succefully
Nebulizer,Niscomed,,Unable to Power ON,Inspected and found the wire connection was broken. Broken wire was rejoined and tested succesfully
CO2 Insufflator,,W 30A,Unabel ot Maintanain the pressure and flow of CO2,Inspected the machine there was no issue with the machine. Operatinal issue was concluded anf guidance was provided
AutoClave,,,Machine unabel to operate water level was overflowing,Inspected and operational guidance was provided
Electrosurgical Unit,Medichem Electronics pvt.ltd,MEDILAP 250 MDD,Pencil not responding to the coagulation,Machine was inspected and found the coag button to be faulty 
TENS Machine,,,TENS probe were broken,Broken probe were reassembled used
Oximeter,,,power was not working,"Inspected and verified battery faulty, we changed the battery connectivity plate"
Oximeter,,,battery cover was missing so functionality was decreased.,used tape as a temporary battery cover.
TENS Machine,Sunmed,,4 pair of TENS's Probe was broken ,soldered and repaired and also we provided the guidence.
ECG Machine,Philips,Page Writer,Artifacts in ECG Wave- probe was not placed properly with enough gel.,Inspected and checked with ECG Simulator.
Ventilator,Hamilton,C3,No Ventilator was in stanby,Ventilator was made stand by
Infant Radiant Warmer,Shreeyash,,Unable to power on,Inspected and check all the voltage found switch to be faulty. switch was replaced
Blood Gas Analyzer,Instrumentation Laboratory,GEM3500,Showing PCO2 Alaram.,Issue was addressed and concluded that the cartridge needs to be replaced.
Agitator,Meditech,,Concern about the Agitator temperature  that it  wasn't maintain in between 20-23 degree,Temerature measurement analyzer was used to determine the internal temperature of the Agitator adn found the internal temperature was in between the range of 20-23 degree
OT Light,Balaji Surgical,,OT 1 one  board panel  was taken by the company(Zenith Surgical) for the repairement/ replacement,Vendor was contaced and new board was replaced yet the outer touch panel is about to come from the company
CO2 Insufflator,,W 30A,Unable to Pass the CO2 gas from the Machine,Inspected and setting was shifted to CO2. But it was suppose to be in Air
Laryngoscope,,,Light wasn't glowing in full intensity ,Battery volatge was measured found to be low. requested for the replacement
Laryngoscope,,,Light wasn't glowing in full intensity ,bulb wasn't inserted properly 
Fumigation Machine,,,Unable to Produce fumes,Inspected and found that that pipe connection was broken
Laryngoscope,,,Adult set Larygscope wasn't glowing,Inspected and found the internal connection of the larygscope was broken. 
Nebulizer,,,Power on issue.,Switch was completly blown out and the switch was replaced
Ventilator,Hamilton,C1,General Maintenance required,General Maintenance was performed
Ventilator,Hamilton,C1,General Maintenance required,General Maintenance was performed
Syringe pump,Mindray,Benefusion,Showing Error 408,Inspected and cross veriifed the issue and resolved the problem by readjusting the connection in presure sensor
C-Arm Machine,Siemens,Multimobile 5C,Showing erroe COD 303 and indication of high temperature.,Inspected and vendor has taken the Main board. Tube was replaced
Syringe pump,Advanced,,Broken Clamp,Broken clamp was reinstalled and checked
Central Monitoring System,Philips,Efficia CM120,No power On Monitor,Loose cabel was maintaned and tightened
Lithotripter,DMS,,Installation was requested to peformed,Installation was completed along with air compressor and oxygen cylinder
Infusion Pump,JMS,OT 701,Alarm of empty ,Crossed verified drip sesnor was reinserted properly
Infusion Pump,JMS,OT 701,Was requested to check,Chcekced and found working good
Dialysis Machine,Baxter,AK98,"Frequent Alarm regarding DIVA/TAVA TEST ERROR, DIALYSIS PRESSURE OUTSIDE LIMITS","Maintenance efforts were performed, including the replacement of the O-ring which did not resolve the error. Upon inspection of the DIVA (Digital Venous Access) and TAVA (Total Access Venous Assist) test errors, it was observed that the machine has exceeded its operational limits without undergoing the necessary preventive maintenance (PM), which is required every 2 years or after 6,000 running hours whichever comes first."
USG Machine,GE,Versana Premier,"The ultrasound machine displays a black, unresponsive area on the image after using the probe.","After thorough testing, it was observed that the ultrasound machine displays a black, unresponsive area on the image when using the linear probe. The cardiac and curvilinear probes were tested and are functioning correctly, producing clear images. This suggests that the issue is isolated to the linear probe, likely due to faulty transducer elements or internal damage. Specialized repair or replacement of the linear probe is recommended to resolve the issue."
ENT Suction Machine,Jull Surg,,Suction not working properly,Clog was formed between two junction of the point. Clog was cleaned and reattached the pipe
Electrosurgical Unit,,DT 400P,Foot switch not responding to coagulation,Inspected and found one wire to be faulty of coagulation to the end of the machine. Faulty wire was replaced and resoldered properly.
CTG,,,No sound and reading of fetal heart rate,Inspected the machine crossed verified the machine with doppler yet no sound. Crossed checked with another patient clear heart sound and reading too. Concluded to be the faulty with the patient.
CO2 Insufflator,Advance,ADVANCE 30 L,Installation required,Installation was performed and made it working
Laryngoscope,,,No.3 Laryngscope base lock  position was displaced and was't in use.,No.3 lock was replaced from the old set of Larygscope. Made one functional unit.
Ventilator,Mindray,SV600,Leakage value was up to 145ml/min during circuit test,Inspected and found that circuit wasn't completed. Distall water was set up and performed the circuit test leakage was reduced to 0
Syringe pump,Smiths Medical,Graseby C9,Display issue. On half way of the infusion of the medicine display goes white.,Display was crossed verified and was replaced from the damaged one ICU040
Ventilator,Hamilton,C3,Showing Alaram of low oxygen,Guidance was provided on operating the ventiator by bypassing the O2 cell
Nebulizer,Optima Care,,Piston was misplaced from the motor position, Misplaced pistion body was accurately replaced in the positon and checked the functionalit of the Nebulizer
Chest Vibrator,Thrive,,3 pin plug was broken,Broken 3 pin plug was replaced and checked
Chest Vibrator,Thrive,,wire connection was broken from the end of the Vibrator,Broken cabel was readjusted and check the function
Humidifier,Pigeon,,system was freez due to over heating,System was reset internally and checked the functionality
ECG Machine,ECGMAC,EM 301,No ECG graph while recording data of the Patient,Loose cabel connection to the end of the ECG Machine. Loose nut were tightened and checked machine is working fine.
Autoclave,,,Door opening issue due to unreleased pressure of gas,Door lock was rinsed with WD40
Humidifier,VADI,VH3000, Not enough heating and number 4 was on display.,inspected and found Heating mode was off.
Colposcope,Lutech,LT-300SD,Unable to capture the image of Colposcope in monitor.,Inspected found to be Operational issue while entering the data. Issue was addressed and solved
Syringe pump,Mindray,BenefusionSP3,locking nut were broken from all sides.,Loose nut were reinserted in their specific position
Defibrillator,Mindray,BeneHeart D3,"Continuous blinking of the Cross indicator
",Upon inspection Test pass was required and performed the test pass.
Infant Radiant Warmer,Shreeyash,,Board switch and light switch not responding to the power issue.,Inspected and checked all fuse to be fine. power voltage was crossed checked and foun the end of fuse wasn't connected properly.
ENT Suction Machine,Jull Surg,,Suction not working properly and not responding.,Inspected and found that the pipe near to suction jar was damaged. damaged pipe was replaced.
Patient Monitor,Schiller,Truscope ultra Q7,Broken ECG led,Broken ecg cable was replaced with new ecg led
Infant Radiant Warmer,Shreeyash,,Warmer display switch and light switch not responding to power was addressed. Issue on fuse holder was encountered .,Fuse was checked and fuse holder was ceaned and readusted properly.
Infusion Pump,JMS,OT-701,"Trigering continuous alarms, IV set was faulty  ",Standard value 20 was set for the IV set
Patient Bed,,,Bed wheel not being to lock,Issue was addressed and solved by reconnectiong the broken parts
Mattress Inflator,Niscomed,,Broken cabel leading to malfunction of machine,Broken cabel was reconnected properly
Mattress Inflator,Niscomed,,Unable to Inlfate the matress,"Rotating kob was set in minimum, setting was set in maximum"
OT Light,Balaji Surgical,,Touch board was not installed ,Touch bpard was installed and verified working
CTG,,,Rotating knob was not responding,Debris in rotating knob was cleaned verified  working
Autoclave,,,slow heating of water. Heating rod was damaged.,2 Heating rod was replaced
Mammogram,Allengers,Venus,There was a problem with the smooth operation of UP and DOWN button  and foot switch.,The signal triggering relays ere traced and voltage was measured adn verified
Colposcope,Lutech ,LT-300SD,Issue with not being able to print the report.,Settings for print were adjusted
Infant Radiant Warmer,Shreeyash,,Power on button didn't respond.,switch connection was restored by soldering.
Patient Bed,,,Patient bed slide down funcion malfunctionin due to missing screws.,screw and nut were replaced.
CTG,,,Unable to print the paper.,Printer roller was fixed in it's original position
ECG Machine,,PageWriter TC20,printing more pages with interpretation. settings changed,setting were adjusted for measurement only
CTG,,,Doppler probe loose that led to loss of noise,probe was inserted properly and was verified working
BIPAP,Philips,Respironics,Language settings was changed,Standard Settings was retained and set. Machine is full functional.
BIPAP,Philips,Respironics,Language settings was changed.,Standard Settings was retained and set. Machine is fully functional.
Syringe pump,Smiths Medical,Graseby TMC9,Pump showing error of plunger open,Plunger and syringe clamp was readjusted properly and restart the machine. Multiple test was run.
Phototherapy,,,2 bulb of Phototherapy Machine wasn't glowing.,Connection were checked and loose connection was restored.
Blood Gas Analyzer,,GEM 3500,ABG Machine failed to calibrate the PH while remaining the 136 samples out of 300. where  Cartidge expiration was in about 20 days,Consult with the vendor and Cartridge was replaced
Mattress Inflator,,,Machine not being able blow the air,Machine was inspected and found the motor to be faulty.
Patient monitor,Philips,IntelliVue,BP cuff didn't show reading.,Inspection and cross verification was performed and we found out BP cuff was incompatible and should be replaced.
Patient monitor,Philips,IntelliVue,BP cuff didn't show reading.,Inspection and cross verification was performed and we confirmed BP cuff was incompatible.
Autoclave,,,3 heating rod was damaged completely,"3KW ,3 pieces heating rod was replaced and checked"
Blood Gas Analyzer,Instrumentation Laboratory,GEM3500,Showing PH Alaram. While remaining of 136 test out of 300. The Expiration date of cartidge was in 10 days.,Issue was addressed and concluded that the cartridge needs to be replaced.
Ultrasound Therapy,,,Ultrasound therapy probe not responding,
Defibrillator,Mindray,Beneheart D3,Pre op test was reuired,pre op test was performed
Ventilator,Hamilton,C1,Flow sensor disruption,Flow sensor was flipped in correct order
Syringe pump,Advanced,SP-200,Syringe clamp was detached from  its position.,"Machine was inspected and the position of the clamp was verified. After that we placed the clamp n its correct position. We also performed calibration and after confirming that the machine was completely functional, we dispatched the machine to ICU."
Ventilator,Hamilton,C1,Requested for new flow sensor placement and calibration.,Flow sensor was installed and calibration was performed. User guidance was given.
